id,titre,description
86,Développeur Full Stack React/Node JS,""Créer de nouveaux mini-jeux Nextgen : Imaginer et développer des nouvelles mécaniques de jeux immersives basés sur les dernià¨res technologies Javascript : PixiJS  WebGL 2  WebAR (réalité augmentée)  Web Audio API etc.Développer de nouvelles fonctionnalités : Faire évoluer la plateforme avec notre équipe produit pour répondre au mieux aux besoins client  de l'idée à  la mise en production.Améliorer la performance des jeux en continu : Maintenir des temps de réponse faibles tout au long du parcours de jeu en participant à  l'optimisation du code de traitement real-time.Garantir la sécurité et l'intégrité des participations : Développer des technologies anti-triche / anti-spam intelligentes et suivre les bonnes pratiques de sécurité au quotidien.Maintenir un haut niveau de qualité : Anticiper au mieux les impacts de chaque changement. Eviter les régressions. Assurer l'écriture de tests unitaires et fonctionnels automatiquement exécutés par notre pipeline d'intégration continue.Frontend Builder : React  Redux  Webpack  Jest  Typescript.Fontend Stories : React  Next.JS  Typescript.Frontend Game : Phaser  Pixi  ES6 (Babel)  Webpack.Backend API : Node.JS 16 + Hapi 20  Jest  PostgreSQL  Ramda  Elasticsearch  Typescript.deploiement continu : Github Actions  AWS.Outils de collaboration interne : Trello  Slack  Github  Google Apps""
87,Développeur Fullstack PHP Symfony,""L'aventure qu'on te propose te permettra d'évoluer en t'investissant et en participant pleinement à  l'évolution globale d'Hubvisory. Que tu sois développeur.se confirmé ou senior  on pourra t'offrir des missions challengeantes sur divers environnements techniques !Dans un contexte agile à  forte orientation Produit  tu interviendras sur la construction et l'évolution des produits digitaux de tes futurs clients et tu seras amené.e à  :- Créer et maintenir les interfaces Front-End en PHP et Javascript (ou Typescript)- Créer  maintenir et documenter les API (REST  GraphQL) du produit avec PHP et Symfony- Maintenir un haut niveau de qualité du code grà¢ce à  sa couverture via des tests (intégration  unitaires  E2E  Stress tests..) et une attention portée à  l'architecture  au nommage et à  l'optimisation logique des algorithmes:- Interagir avec le Product Manager et les équipes de développement- Contribuer à  la construction de la roadmap et la spécification du produit- Assurer l'ergonomie visuelle et fonctionnelle du produit- Participer aux différentes cérémonies agiles et aux codes review.Profil recherché:Pour bien t'intégrer sur mission et devenir Hubvisor  tu auras besoin :- D'une expérience de 2 à  5 ans dans le développement d'application web en fullstack en PHP- D'une maà®trise du framework Symfony""
88,Développeur Full Stack Java Angular,""Concrà¨tement votre quotidien ? En collaboration avec votre tuteur  vous :Analysez des données  concevez et mettez en Å“uvre des algorithmes et traitements statistiques ;àŠtes force de proposition et imaginez des améliorations des processus existants ;Travaillez en coordination étroite avec les autres métiers.Profil recherché:Vous préparez un master sur 1 an dans le domaine de la Data/Informatique.Pour réussir votre mission  vous :Appréciez le travail en équipe et en transverse ;Portez intéràªt pour les domaines de conformité et de securité financià¨re ;Avez des connaissances en Angular et Java (Springboot) et SQL (base de données).""
89,Développeur Simulation Hélicoptere _ C++,""Dans le cadre de nos activités de développements de simulateurs virtuels de maintenance (VMT - Virtual Maintenance Trainer)  vous serez intégré(e) au sein d'une équipe d'une dizaine de personnes (développeurs  infographistes  experts aéronautiques) travaillant en Agile.Vous participerez donc au développement de simulateurs virtuels de maintenance dans l'aéronautique sur les outils de simulation 3D  de visualisation 3D  de Réalité Augmentée  ainsi que les simulations des interfaces homme-machine de l'aéronef.La mission porte plus précisément sur la production de contenu pour un simulateur de maintenance d'un hélicoptà¨re des armées franà§aises et allemandes.Vous serez en charge de :La création de contenu pour la simulation hélicoptà¨re (XML  QML  scripts€¦) en collaboration avec un expert hélicoptà¨re ;La conception et le développement du simulateur de l'hélicoptà¨re en programmation visuelle par blocs (similaire à  Blueprint et Simulink) et scripts LUA ;Le développement d'IHM en QML/javascript ;L'implémentation de procédures de maintenance aéronautique ;La validation  l'analyse et la correction de bugs.L'environnement technique :Algorithmique  modélisation  programmation graphique (type Simulink) Scripts Lua  développement Web (Javascript  HTML  CSS) C++/Qt/QML Jenkins Utilisation de JIRA  et d'Excel""
90,Développeur C++,""notre entité Digital Twin  intervient sur la digitalisation des processus métiers ou sur l'élaboration de jumeaux numériques des produits de nos clients industriels. Notre métier permet de modéliser et simuler les projets de demain.La résolution de problà¨mes mathématiques  la modélisation de phénomà¨nes physiques  les algorithmes de cÅ“urs de calculs vous passionnent ?Nous travaillons sur un projet de modélisation d'intervention sur les réseaux de distributions de gaz et recherchons un ingénieur experimenté maitrisant les technologies autour du langage C++. L'équipe est aujourd'hui composée de 5 personnes et travaille en mode Agile. Vous pourrez évoluer sur les différentes phases du projet : analyse des besoins clients  définition de l'architecture logicielle et conception  développement d'applications  gestion des données  et la mise en place de chaine DevOps. ""
91,Ingénieur Développement Logiciel Embarqué C++,""Dans le cadre de son fort développement  Echosens recrute en CDI un :Ingénieur Développement Logiciel Embarqué C++ (H/F).Poste basé à  Paris 14ià¨me.Au sein de la R&D  vous intégrerez l'équipe responsable du développement des logiciels embarqués du produit phare d'Echosens : le FibroScan.Ces logiciels multiplateformes développés en C++ 17 forment le systà¨me nerveux du dispositif. Grà¢ce à  leurs interactions fortes avec le FPGA  ils permettent au logiciel applicatif d'exploiter les pleines capacités du matériel pour réaliser l'examen du foie.Au sein d'une équipe dynamique et pluridisciplinaire  vous participerez activement aux développements et interviendrez dans les décisions d'architecture des nouveaux produits.Environnement technique :€¢ C++ moderne€¢ Implémentation multiplateformes Windows/Linux€¢ FreeRTOS/uCOS II€¢ Intégration continue avec TeamCity€¢ Outils de développement : Git  Jira  CMake  Conan  Bitbucket€¢ Méthodologie Agile - Scrum€¢ Banc de tests automatisé (Python  Arduino)""
92,Consultant en Recrutement IT,""Développer ton propre portefeuille client  à  la manià¨re d'un entrepreneur tu gà¨res toute ta relation commerciale  de la prospection au rendez-vous  de la négociation à  la fidélisation ;- Te positionner en apporteur de solutions auprà¨s de tes candidats partenaires IT et de tes clients : expert de ton environnement tu as un rà´le de conseil pour orienter au mieux tes missions de recrutement.- Faire sourire nos candidats et nos clients aprà¨s avoir fait rencontrer leurs attentes respectives ;- Sourcer et t'entretenir avec les candidats spécialisés dans ton domaine afin de comprendre leur recherche et les positionner chez nos clients ;NOUS TE PROPOSONS- Un véritable challenge !- Un projet ambitieux avec des perspectives de développement à  moyen terme ;- Une entreprise solide  20 ans d'existence  en développement constant ;- Une excellente période de formation à  nos métiers et méthodes ;- Et surtout une équipe qui sait allier travail et plaisir !""
93,Technicien plateforme IT,""Mission support IT:Vous assurez la réception  la qualification et le suivi de tous les incidents et demandes des utilisateurs du groupe.Vous assurez le traitement des incidents.Vous contribuez à  la résolution des incidents.Missions exploitation et supervision.Vous exécutez les travaux informatiques et restituez les résultats de la production dans le respect des plannings.Vous définissez les procédures d'exploitation.Vous suivez l'exploitation des applicatifs et contrà´lez la qualité des résultats.Vous établissez le diagnostic d'un incident constaté sur un ou des domaines ou remonté par le support utilisateur.Vous assurez la communication d'incidents.Vous réalisez en permanence le démarrage  l'arràªt et la supervision des ressources en référence au planning des travaux de la journée.Vous assurez la disponibilité des ressources physiques (disques  robots  automates...) et des ressources logiques.Vous assurez la sécurité des données (sauvegarde  archivage) et des supports magnétiques.Vous effectuez le lancement des outils ou des commandes de reprise (manuelle  reconfiguration des ressources  opération de sauvegarde etc...).Vous relancez les travaux aprà¨s résolution.Vous alimentez la base des incidents.Vous maintenez la documentation de pilotage""
94,Chef de projet IT,""Emeraude Escape  leader franà§ais de la conception d'Escape Game Digital recherche un(e) PMO : Projet Management Officer.Au sein d'une équipe jeune et dynamique  vous serez chargé(e) de concevoir et réaliser des Escape Game digitaux sur-mesure pour nos clients en travaillant avec les Game Designers  illustrateurs et développeurs FULLSTACK.Vous serez chargé de coordonner les informations et d'assurer le suivi des actions des Game Designers  illustrateurs et développeurs.""
95,Développeur Python,""Entouré(e) d'une équipe de passionnés  comme vous  vous aurez la charge de :Participer au maintien opérationnel des outils et au développement de nouvelles fonctionnalités Réaliser les tests unitaires  d'intégration et méthode de test BDD  TDD Réaliser la correction des anomalies éventuelles Participer à  la rédaction de la documentation Participer au processus l'intégration continue Construire et utiliser des APIs Participer à  des projets avec de fortes contraintes techniques  de sécurité et de performances.Vous maà®trisez ou souhaitez vous familiariser avec les outils DevOps : Jenkins  Kubernetes par exemple.""
96,Développeur Full Stack (Python/React),""Implémenter de nouvelles fonctionnalités sur l'application Hello Watt (web/iOS/Android)  l'application pour suivre et maà®triser sa consommation d'énergie.Participer à  la création de nouvelles fonctionnalités et à  l'amélioration de la plateforme web du conseiller énergie : comparaison d'offres  création de projet de rénovation énergétique et de projet d'autoconsommation solaire.Construire et améliorer les outils internes à  destination des équipes (commerciaux  marketing  partenariat ).Lancer le site Hello Watt dans de nouveaux pays en Europe.Expérience en développement web avec python (Django  Flask  Sanic  FastAPI€¦) ou dans au moins un framework javascript (React  Vue  Angular€¦) Tu maà®trises le développement front-end (reactjs serait un plus).Connaissances et veille sur l'écosystà¨me général du web et notions de HTML sémantique  SEO  performances€¦""
97,Développeur·se back Python Django,"" Nous utilisons principalement Python  la plupart de nos sites web sont alimentés par Django  Django-REST-framework et GraphQL (Graphene).Cotéplateforme:Nous utilisons fortement AWS (avec Kubernetes) et dans le cadre du processus de deploiement continu nous exploitons CircleCI et github pour le versioning.Cotéfront:Nous utilisons React  Redux et SASS ; nos applications mobiles sont construites à  l'aide de code natif ou de React Native.Nous utilisons aussi Loggly  Sentry  Cloudwatch et Datadog pour mesurer les performances et surveiller la production.Ce que tu feras:Nous avons beaucoup de défis de conception difficiles à  résoudre  le marché franà§ais de l'énergie est trà¨s complexe et nous sommes dépendant d'acteurs étatiques trà¨s lents à  évoluer technologiquement. C'est aussi un secteur trà¨s riche et trà¨s actuel car clé dans les problématiques mondiales.""
98,Développeur Big Data,""Au sein d'une équipe de développeurs passionnés comme vous  vous serez amené à  :Comprendre et analyser fonctionnellement et techniquement l'environnement Big Data distribué dans lequel vous allez évoluer Contribuer au cadrage du projet  rédiger les spécifications techniques  mettre en place des environnements de développement et développer sur des langages Big Data Réaliser les phases de tests et les corrections des anomalies éventuelles Mettre en place et tenir à  jour la documentation technique et les outils de restitution àŠtre force de proposition pour une amélioration continue de la performance de la plateforme Effectuer une veille technologique permanente.Base de données type SQL permettant le requàªtage : Hive ou Pig idéalement Base noSQL : Elasticsearch  MongoDB  Hbase ou Impala par exemple Programmation distribuée : Hadoop ou Spark DataIngestion : Scoop ou Kafka  éventuellement Flume DataVisualisation : Kibana.""
99,Consultant Big Data,""Analyse de l'intégration des données des entrepà´ts:€¢    Coopération avec l'équipe des ingénieurs data et les analystes€¢    Rédaction des spécifications techniques de vos projets  planification et estimation de la charge des développements€¢    Développement des flux d'intégration depuis le datamart et le data warehouse€¢    Réalisation des tests unitaires et d'intégration€¢    Correction  évolution et maintenance des outils en place€¢    Rédaction de la documentation afférente€¢    Diverses activités en renfort de l'équipe en placeEnvironnement technique : Talend  Power BI  SAP BI  SQL Server  DB2""
100,Développeur dotNet Full Stack,""Dans vos missions quotidiennes  vous serez amenés :Vous mettez en place les socles techniques multi-projets adaptées aux problématiques rencontrées Vous participez à  l'analyse et la rédaction des spécifications techniques Vous créez des sites internet et des applications métiers pour de nouveaux projets ou développez de nouvelles fonctionnalités Vous réalisez les tests (unitaires  non régression€¦) Vous assurez la mise en production et la maintenance corrective des applications crées Vous àªtes le garant de la qualité et l'optimisation du code afin de répondre aux exigences de performances.Profil recherché:Vos compétences techniques :Vous maà®trisez la mise en Å“uvre de projet dotNet et la maà®trise des technologies de développement dotNet (.Net Framework  Angular  ASP.Net  .Net Core €¦).""
101,Alternance développeur Java - Assurance - F/H,""Votre rôle et missions ! En immersion totale au sein de l'équipe; vous faites le lien entre les besoins utilisateurs et les équipes techniques :- Accompagnement de nos clients dans leurs projets de transformation numérique;- Appréhension de l'architecture technique mise en oeuvre sur les applications;- Réalisation des développements et des tests unitaires;- Participation aux campagnes de qualification avant livraison;- Traitement des retours client. Technologies utilisées: Java 11 /17; Spring Boot; PostgreSQL; MongoDb; Hibernate; OpenShift; React; API; Microservice; Docker; Git""
102,Développeur Java H/F,""Vous avez une expérience d’au moins 2 ans en développement Java; idéalement dans un contexte Agile ; Scrum.La connaissance des Framework Front-End Angular; React ou tout autre Framework JavaScript ou TypeScript est un plus.Vous parlez couramment français et avez des connaissance en anglais.""
103,Ingénieur R&D Java JEE Web,""Diplômé(e) d’un Bac + 5 en informatique; vous disposez des compétences techniques suivantes : Maîtrise du langage Java côté serveur (multi-threading; collections; caches; sécurité; etc.). Connaissance de frameworks OpenSource du monde Java (Spring; JUnit; Jackson; Guava; …) .Habitude des API REST et des formats JSON et XML.Bonnes connaissances en SQL et bases de données (MySQL; PostgreSQL; H2).Connaissances en HTML/CSS/JavaScript.Connaissance de la méthode Agile Scrum.Maitrise des outils Git et Maven""
104,Concepteur Développeur JAVA Confirmé,""Rejoindre les équipes d’Open; c'est concevoir et intégrer les solutions innovantes de demain !Notre Business Unit Rennes / Lannion; spécialisée dans le développement Web; le développement d'applications mobiles et la géocartographie cherche aujourd'hui à renforcer ses équipes !Analyse du besoin.Conception de solutions Java / J2EE.Développement de logiciels.Intégration et déploiement d'applications""
105,Développeur Back-end Java - H/F,""- Implémenter les workflows et micro-services nécessaires à intégrer une nouvelle gamme de produits financiers- Participer à l’ensemble du cycle de développement : réflexions collectives; spécification; implémentation; testing et formation des utilisateurs- Participer de manière ponctuelle au support de niveau 3 permettant de renforcer votre lien avec les opérateurs de marché .Vous aurez ainsi l’opportunité d’évoluer dans un environnement agile et au sein d’une équipe de 12 experts et devrez relever des challenges de performance et d’optimisation. Stack techno : Back end : Java 11/Framework : Spring Core/Boot 2.2.2/Data/MVC; Kafka""
106,Développeur Back-end Java / Cloud AWS,""En tant que Développeur Java; vos missions seront :- Développer une Infrastructure As Code sur le cloud AWS en Terraform- Développer from scratch le Back-end de l’application finale en Java 11- Optimiser et améliorer en continu les fonctionnalités de l’application et l’adapter aux spécificités de chaque pays; dans le cadre de son internationalisation Vous aurez ainsi l’opportunité d’évoluer dans un environnement agile; en full DevOps et au sein d’une équipe d’experts à taille humaine; composée d’un Scrum Master; d’un Product Owner; d’un Tech Lead et d’un développeur Front-end.  Stack techno : Infrastructure hébergée sur AWS; développée en Terraform . Back end : Java 11.Front end : React/Framework : SpringBoot/Outils : Docker""
107,Développeur JAVA,""Nous recherchons un développeur Java à Lyon pour intégrer l'équipe IT d'un de nos clients leader du retail.Vos missions :Votre rôle est d'analyser les besoins exprimés par le Product Owner; de développer les évolutions demandées (développement; tests unitaires; tests d'intégration); d'analyser et corriger les anomalies et bugs remontés par les équipes de validation et par les équipes d'exploitation.Vous vous conformez aux normes; aux méthodes et aux procédés définis par le client.Enfin; vous êtes un moteur de propositions en matière d'évolution et d'amélioration continue et participez au développement de la communauté des développeurs.""
108,Développeur Java (F/H),""Réaliser la conception fonctionnelle et technique des applications confiées ;o Effectuer le développement ;o Effectuer les tests unitaires et d’intégration ;o Documenter le code; les tests et le suivi des corrections ;o Analyser et prendre en charge les demandes de modification ;o Apporter du support aux autres développeurs; Participer au processus de capitalisation et d'amélioration continue .Compétences techniques : o Vous maîtrisez les technologies suivantes : Java J2E ; SpringBoot ; Architecture Microservice ; Web Services ; Rest ; Maven ; Git ; Jenkins...  o Des connaissances en Docker / Kubernetes seraient un plus ;o Vous êtes familier des méthodes : Agile Scrum ou Less DevOps""
109,Developer Backend Java,""Au sein d’une équipe composée essentiellement de Devs Back End; votre mission sera de prendre en charge les évolutions techniques des services composant la plate-forme Praxedo. Vous y parviendrez grâce à un esprit d’entraide certain mais aussi et surtout grâce au pair programming; au pair review; et à l’appui des architectes de la Core Team.Vous serez le garant de la mise à jour et évolution d’une stack technique aux enjeux passionnants : architecture; conception et développement de nouvelles fonctionnalités.Être force de proposition sur des approches techniques.Entretenir une veille technologique avec restitution; pour aujourd’hui et pour demain.ENVIRONNEMENT TECHNIQUE.Dev : JEE; Java 8; Spring/Spring Boot ; Hibernate/Intégration: Git; Maven; Jenkins; Bitbucket; Jira/Données : PostgreSQL; ElasticSearch; SQlite/DevOps: Ansible""
110,Expert Technique Java/Angular,""Participer à la conception et au développement de solutions logicielles robustes; évolutives et hautement performantes en tant que référent(e) technique sur les technologies Java; JEE; Spring et Angular.Accompagner les équipes de développement dans la résolution des problèmes techniques nécessitant une expertise.Initier certains développements nécessitant un haut niveau d'expertise; tels que le prototypage d'un modèle à suivre.Contribuer à l'amélioration continue de la qualité du code et des pratiques de développement de l'équipe.Organiser des revues de conception pour vérifier la bonne mise en œuvre de l'architecture logicielle et l'utilisation adéquate des frameworks.Rédiger les livrables; y compris les documents de conception; les guides d'installation et les dossiers d'exploitation.Assurer une veille technologique sur les métiers du développement et de l'architecture logicielle.Stack Technique :Backend : Java JEE/Frontend : Angular""
111,De´veloppeur fullstack PHP (Laravel; Symfony),""Dev Web :frontoffice : site en ligne; frontend des outils internes; App clients; App Transporteurs.backoffice (= colonne vertébrale de YouStock); App transporteur; front/tunnel de ventes; compte client; data analysis; etc.Notre Stack :Frontend: JavaScript avec Vue.js / HTML5; CSS3 avec Bootstrap / Cordova/Backend: PHP7 avec Laravel/MySQL; Git; etc""
112,Développeur Web Laravel/Vue.js,""Développer les nouveaux piliers de l’application pour améliorer le pilotage de la production.Optimiser l’existant et assurer le suivi des bonnes pratiques de développement dans son escouade.Encadrer techniquement une escouade de développement (suivi des développeurs; accompagnement du PO…). o PHP / Javascript / HTML / CSS. Laravel 9 / Vue.js 2 ; Git ; Curiosité; autonomie et sens de l’initiative ; GraphQL ; Connaissance du principe de serverless ; Plateforme AWS (Lambda; AppSync; SNS…)""
113,Développeur.se Php Symfony ou Laravel,""Concevoir et implémenter des architectures pragmatiques en respectant les bonnes pratiques . Analyser; concevoir; élaborer des specs fonctionnelles et techniques détaillées. Développer les nouvelles fonctionnalités demandées par le métier. Prendre en charge des tests. Participer à la mise en production . Tu as des compétences en : langages : PHP avec FW Symfony (ou Laravel) . Tu as des connaissances du FW Angular est un plus""
114,Développeur Laravel,""Le web applicatif vous passionne; vous aimez comprendre et savoir comment les choses fonctionnent et comment les faire évoluer.Vous aimez livrer un code robuste et clean pour qu’il soit facile à relire et qu’une autre personne de l’équipe puisse le reprendre pour le faire évoluer.Vous avez une très forte appétence pour la qualité logicielle et pour la performance (charge; vitesse; scalabilité…).Vous aimez apprendre des choses et les partager à vos collègues.Vous avez une bonne sensiblité front pour rendre une interface consistante pour que l’utilisateur final ait plaisir à utiliser l’application au quotidien. Compétences techniques indispensables : PHP 7+ / Programmation orientée objet / Laravel""
115,Développeur·euse Symfony / Laravel,""Un développeur; avec une expérience dans la réalisation de sites; plateformes et activations digitales sous Symfony et/ou Laravel.Tu possèdes une première expérience dans le développement web principalement sous un de ces frameworks et souhaite progresser rapidement dans une équipe motivée; tu es au bon endroit. Bonnes connaissances de développement sous Symfony et/ou Laravel.Connaissances techniques indispensables :PHP; MySQL""
116,Développeur PHP,""Notre stack technique :Front: ReactJS avec MUI & TailwindCSS; React Query; Zod; ViteJS; Vitest; Storybook; MSWBack: Certains services en NodeJS avec express.js ou tRPC; d’autres en PHP avec Slim ou avec Symfony ; Codeception pour les tests.Environnement de développement dockerisé.Machine de travail au choix; en auto-gestion. Missions :Intégré(e) au sein de l’équipe technique et sous la responsabilité du lead developper; vous participez au développement de modules de notre SI actuel et serez notamment amené(e) à :Evaluer les spécifications techniques et fonctionnelles sur les modules qui doivent évoluer dans notre plateforme existante ou être intégré dans le futur SI.Assurer le développement Back des projets qui vous sont confiés.Assurer la réalisation de la phase de test (gestion des environnements; test unitaire; plan de test; corrections du code; etc.) ainsi que de la documentation technique""
117,Développeur Fullstack PHP Symfony,""Dans un contexte agile à forte orientation Produit; tu interviendras sur la construction et l’évolution des produits digitaux de tes futurs clients et tu seras amené.e à :- Créer et maintenir les interfaces Front-End en PHP et Javascript (ou Typescript)- Créer; maintenir et documenter les API (REST; GraphQL) du produit avec PHP et Symfony- Maintenir un haut niveau de qualité du code grâce à sa couverture via des tests (intégration; unitaires; E2E; Stress tests..) et une attention portée à l'architecture; au nommage et à l'optimisation logique des algorithmes - Interagir avec le Product Manager et les équipes de développement - Contribuer à la construction de la roadmap et la spécification du produit - Assurer l’ergonomie visuelle et fonctionnelle du produit - Participer aux différentes cérémonies agiles et aux codes review ""
118,Développeur PHP Full Stack (F/H),""ous maîtrisez la mise en œuvre de projet PHP et la maîtrise des technologies de développement PHP (Drupal; Symfony; Laravel; Sylius …).Vous possédez une certaine adaptabilité ce qui vous permettra de transposer vos compétences techniques et fonctionnelles sur des projets variés.Vos atouts :Vous avez une première expérience significative en tant que développeur PHP et vous souhaitez mettre à profit vos compétences pour vous consacrer à des projets de développement web.Véritable coéquipier; vous avez à cœur de contribuer à la montée en compétence de votre équipe.Vous développez votre créativité grâce à une veille technologique accrue qui vous permet de challenger les demandes de vos clients.Enfin; vous disposez d’un bon niveau de français et d’anglais; à l’oral comme à l’écrit.""
119,Ingénieur DevOps,""Assurer le maintien en condition opérationnelle des outils la plateforme d’intégration continue de l’entreprise qui sont hébergés On Premise sur Docker Swarm . Gestion des outils et des pipelines CI/CD.Gérer l’assistance aux utilisateurs.Accompagner le projet de mise en place de Kubernetes . Connaissances techniques indispensables :Docker Swarm;Administration de GitLab; Jenkins et Nexus;Git ; Environnement: Linux ; Connaissances supplémentaires appréciées :Sonar / Maven; NodeJs / Groovy; Python / Monitoring : Grafana; Prometheus; InfluxDB / Methodologies: Gitflow & Trunk-Based / Kubernetes""
120,Ingénieur DevOps (H/F),""Issu(e) d’une filière scientifique bac+4/5 ou d’un diplôme d’ingénieur;Vous disposez idéalement d’une expérience significative en développement informatique; en architecture réseaux ou dans la Data;Vous maîtrisez un langage objet type Java; Linux; Nodejs; Python; C/C++; HTML; etc.Vous êtes inscrit(e) à Pôle Emploi""
121,Ingénieur Intégrateur DevOps,""Intégrer et configurer le Hardware et Software en lien avec l’équipe projet;Mettre en œuvre toutes les actions liées aux activités Build dans le respect des contraintes de production;Préparer la solution technique facilitant autant que possible la fourniture du meilleur service à l'utilisateur final et du meilleur SLA à notre client;Rédiger le plan de test d'acceptation client;Intégrer et déployer la solution avec l’infrastructure client;Installer; configurer et tester le progiciel de surveillance et les alarmes douanières;Contribuer à la stratégie globale de test de solution. ""
122,Ingénieur Devops,""Mise en place et amélioration des systèmes de supervision;Maintien en condition opérationnelle et sécurisation des produits et services;Installation; exploitation et optimisation des plateformes de production (Linux; Ansible; Docker; AWS);Automatisation de toutes les tâches récurrentes;Orchestration et automatisation des différentes chaînes d’intégration continue; de compilation et de livraison;Support N3 et documentation; ""
123,Développeur / devops cloud,""Développer des services Cloud à base d'outils OpenSource et autres standards du marché (Jira; GitHub; Jenkins; Sonar; Ansible; ...); le tout dans une approche Agile (Scrum ou Kanban).Contriber à l'établissement des standards et aux bonnes pratiques de développement; à l'engineering de développement et/ou à l'architecture logicielle de votre service.Participer au maintien des services en conditions opérationnelles; dans un processus de « Continuous Deployment »; avec création d'environnement « On Demand ».Mettre en place des solutions d'automatisation du support (Bot; Machine Learning). ""
124,Ingénieur DevOps,""Tu as configuré des pipelines de CI/CD; via GitLab; Github; Jenkins; ou AWS Code Commit/Build/Pipeline/Deploy.Tu as configuré un cluster Kubernetes de conteneurs Docker.Tu as déployé une infrastructure via un outil d’infrastructure as code comme Terraform; Ansible; ou AWS Cloudformation.Tu as configuré une stack de supervision de performance et de disponibilité d’application comme ELK; Prometheus/Grafana; Dynatrace; Instana ou Appdynamics.Tu maitrises les environnements Linux et le scripting.Tu as le sens de l’entraide et un état d’esprit entrepreneurial. Linux / Terraform / Ansible / AWS / Kubernetes / GitLab / Elastic KibanaStack front : ReactJS / React Native.Stack back : NodeJS / PostgreSQL / Python / MongoDB""
125,DevOps,""Développer et maintenir à jour les pipelines GitOps de différents modules à forte composante Data (nous utilisons Kubernetes; Kustomize et Terraform); incluant l’infra déployée sur du cloud souverain. Incorporer les meilleures pratiques de sécurisation de l’infrastructure (hardening d’instances; sécurisation de cluster Kubernetes;…).Monitorer les déploiements en cours.Participer au déploiement de nouveaux clients (mise en place de clusters incluant plusieurs dizaines d’images diverses : worker de computer vision sur GPU; cluster Elasticsearch; base de données redondée PostgreSQL;…).Participer à l’amélioration continue de la base de code; en lien avec les Data Scientists de l’équipe""
126,Développeur(se) Python,""La missions:Travailler avec les équipes techniques. Travailler avec les équipes projets IT. Participer à l’uniformisation des flux data Vous justifiez de plus d’un an d’expérience.Compétences requises :Maitrise de Python. Connaissance des tests unitaires. Programmation asynchrone""
127,Développeur Go/Python,""Vous travaillerez dans un environnement micro-services avec de fortes contraintes techniques (multithreading; forte volumétrie de données;…) où vous serez amené à designer de nouvelles applications; à améliorer l’architecture logicielle ainsi qu’à valider et implémenter les différents modules et services de leur solution.  De plus; vous pourrez  monter en compétences sur des langages tels que le Go et Python et manipuler plusieurs types d'architectures de services (REST; event-based; ...). Stack techno :Back end : Python; Go. Framework : React JS; Angular JS; Javascript; Vue.JS. Outils : Docker; Jenkins; Kubernetes. Environnement : Linux. Architecture microservices""
128,Développeur C++/ Python Confirmé,""Background technique  avec 5 ans d’expériences en développement sur des projets industriels en programmation orientée objet avec C++; et connaissance d’un ou plusieurs autres langages / framework (QT; Boost; Python) et des principaux modèles de conception (design patterns). Vous savez également développer dans un environnement DevOps; d’intégration continue. Vous avez un esprit curieux et une forte capacité de compréhension des différents aspects du projet pour pouvoir être force de proposition.  ""
129,Développeur Python,""Développement et déploiement de nouvelles features; Architecture cloud pour répondre à des problématiques de scaling et de performance. Diffusion et utilisation des données en coordination avec l’équipe Data. Mise en place et respect des bonnes pratiques de code : tests; Git Flow; CI/CD; code review. Formations intra pour assurer l’évolution techniques des équipes Data et Devs.Participation active à l’évolution de l’équipe au travers des “cérémonies” Agile.Assurer les étapes de développement : conception; développement; test/qualité.Contribuer à l’architecture du produit; aux revues de code; à la qualité et stabilité du produit dans son ensemble.Être force de proposition sur les spécifications des fonctionnalités.Collaborer de manière active avec les membres de la team Scrum et Data pour développer des fonctionnalités innovantes ;Réflexion autour de l’amélioration des performances et de la conception globale du code.Stack technique et outils :Python Flask. DynamoDB. Jupyter Notebook; Jupyter Hub. Github . AWS . JIRA; Confluence; Slack""
130,Développeur C# / .Net,""Dans le cadre du développement de sa plateforme de paris; Honoré Gaming recherche à renforcer son équipe son équipe de développement. Nous recherchons donc un développeur C# / .Net Back expérimenté pour nous rejoindre.L’équipe de développement; constituée d’une vingtaine de personne; est encadrée par des Développeurs Senior; eux-mêmes références dans leurs domaines (UI/UX; Algorithmie; Cloud Computing; Devops; Angular ou encore .Net Core et Azure).Chez nous; un développeur n’est pas qu’un simple codeur : il est force de proposition; participe à l’architecture de la solution; articule les besoins des clients avec les équipes Business et Support; crée des interfaces performantes avec l’équipe de Design; utilise et enrichit la stack complète. Stack technique : HTML5 / CSS / Angular / Typescript / Capacitor /.Net Core / C# / MySQL / RabbitMQ / Elastic Search / SignalR.Azure / Azure Devops""
131,Développeur C#.net,""- Réaliser des développements dans l'environnement .NET C#; Microsoft SQL Server;- Participer à la réalisation des tâches techniques transverses (Gestion du maintien de la qualité du code; amélioration de l'utilisation de l'ALM TFS ...)- Participer à la rédaction de la documentation technique- Réaliser de manière très ponctuelle des développements sur VB6; des rétro-spécification....- Environnement technique : C# .NET (Winform); T-SQL pour Microsoft SQL Server 2008; WPF; ASP.NET... Compétences requises : .NET; C#.""
132,Développeur C#,""Participer à la phase d’analyse du projet; et proposer des solutions techniques dans le cadre de projets à fortes contraintes; de sécurité et de performances.Participer au développement de nouvelles applications et fonctionnalités.Participer à la maintenance évolutive et corrective des applications.Réaliser des tests unitaires et participer aux tests d’intégration et recettes.Documenter vos réalisations.Apporter votre expertise aux autres développeurs de l’équipe""
